name,profitability,rating,primary_genre,content_rating,price
Minecraft: Pocket Edition,"$130,726,667.14 ",4.5,Games,9+,$6.99 
Fruit Ninja Classic,"$50,099,530.00 ",4.5,Games,4+,$1.99 
Draw Something,"$38,996,966.43 ",4.5,Games,4+,$2.99 
SCRABBLE Premium,"$30,488,037.14 ",3.5,Games,4+,$7.99 
Call of Duty: Black Ops Zombies,"$29,518,706.79 ",4.5,Games,17+,$6.99 
TuneIn Radio Pro - MLB Audiobooks Podcasts Music,"$25,929,168.21 ",4.5,Music,12+,$9.99 
Clear Vision (17+),"$19,607,716.79 ",4.5,Games,17+,$0.99 
Geometry Dash,"$19,439,271.43 ",5,Games,4+,$1.99 
Terraria,"$17,901,515.71 ",4.5,Games,9+,$4.99 
Plants vs. Zombies,"$15,581,513.21 ",5,Games,9+,$0.99 
,,,,,
,,4.5,,,$4.59 
